       JADWAL SALAT Jakarta
 
 
            	JANUARI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 7   4:35    5:52   11:55   15:10   17:56   19: 3    
 8   4:35    5:52   11:55   15: 9   17:56   19: 3    
 9   4:34    5:52   11:55   15: 8   17:56   19: 3    
10   4:34    5:51   11:54   15: 8   17:55   19: 3    
11   4:33    5:51   11:54   15: 7   17:55   19: 2    
12   4:33    5:50   11:53   15: 6   17:55   19: 2    
13   4:32    5:50   11:53   15: 6   17:55   19: 2    
14   4:32    5:49   11:53   15: 5   17:55   19: 2    
15   4:31    5:48   11:52   15: 4   17:54   19: 2    
16   4:31    5:48   11:52   15: 3   17:54   19: 1    
17   4:30    5:47   11:52   15: 3   17:54   19: 1    
18   4:30    5:47   11:51   15: 2   17:54   19: 1    
19   4:29    5:46   11:51   15: 1   17:54   19: 1    
20   4:29    5:46   11:51   15: 0   17:53   19: 0    
21   4:28    5:45   11:50   14:59   17:53   19: 0    
22   4:28    5:45   11:50   14:58   17:53   19: 0    
23   4:27    5:44   11:50   14:58   17:53   19: 0    
24   4:27    5:44   11:49   14:57   17:53   19: 0    
25   4:26    5:43   11:49   14:56   17:52   19: 0    
26   4:26    5:43   11:49   14:55   17:52   18:59    
27   4:25    5:42   11:48   14:54   17:52   18:59    
28   4:25    5:42   11:48   14:53   17:52   18:59    
29   4:24    5:41   11:48   14:52   17:52   18:59    
30   4:24    5:41   11:47   14:51   17:52   18:59    
 
 
            	OKTOBER
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:23    5:40   11:47   14:50   17:51   18:59    
 2   4:23    5:40   11:47   14:50   17:51   18:59    
 3   4:22    5:39   11:46   14:49   17:51   18:58    
 4   4:22    5:39   11:46   14:48   17:51   18:58    
 5   4:21    5:39   11:46   14:47   17:51   18:58    
 6   4:21    5:38   11:45   14:46   17:51   18:58    
 7   4:20    5:38   11:45   14:45   17:51   18:58    
 8   4:20    5:37   11:45   14:44   17:50   18:58    
 9   4:19    5:37   11:44   14:44   17:50   18:58    
10   4:19    5:36   11:44   14:45   17:50   18:58    
11   4:18    5:36   11:44   14:45   17:50   18:58    
12   4:18    5:35   11:44   14:46   17:50   18:58    
13   4:17    5:35   11:43   14:46   17:50   18:58    
14   4:17    5:35   11:43   14:47   17:50   18:58    
15   4:16    5:34   11:43   14:47   17:50   18:58    
16   4:16    5:34   11:43   14:48   17:50   18:58    
17   4:15    5:33   11:43   14:48   17:50   18:58    
18   4:15    5:33   11:42   14:49   17:50   18:58    
19   4:14    5:33   11:42   14:49   17:50   18:58    
20   4:14    5:32   11:42   14:50   17:50   18:58    
21   4:13    5:32   11:42   14:50   17:50   18:58    
22   4:13    5:32   11:42   14:51   17:49   18:58    
23   4:13    5:31   11:41   14:51   17:50   18:58    
24   4:12    5:31   11:41   14:51   17:50   18:58    
25   4:12    5:31   11:41   14:52   17:50   18:58    
26   4:11    5:31   11:41   14:52   17:50   18:59    
27   4:11    5:30   11:41   14:53   17:50   18:59    
28   4:11    5:30   11:41   14:53   17:50   18:59    
29   4:10    5:30   11:41   14:54   17:50   18:59    
30   4:10    5:30   11:41   14:54   17:50   18:59    
31   4:10    5:30   11:41   14:55   17:50   19: 0    
 
 
            	NOVEMBER
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4: 9    5:29   11:41   14:55   17:50   19: 0    
 2   4: 9    5:29   11:41   14:55   17:50   19: 0    
 3   4: 9    5:29   11:41   14:56   17:50   19: 0    
 4   4: 8    5:29   11:41   14:56   17:50   19: 1    
 5   4: 8    5:29   11:41   14:57   17:51   19: 1    
 6   4: 8    5:29   11:41   14:57   17:51   19: 1    
 7   4: 8    5:29   11:41   14:58   17:51   19: 1    
 8   4: 7    5:28   11:41   14:58   17:51   19: 2    
 9   4: 7    5:28   11:41   14:59   17:51   19: 2    
10   4: 7    5:28   11:41   14:59   17:52   19: 2    
11   4: 7    5:28   11:41   15: 0   17:52   19: 3    
12   4: 7    5:28   11:41   15: 0   17:52   19: 3    
13   4: 7    5:28   11:41   15: 0   17:52   19: 4    
14   4: 6    5:28   11:41   15: 1   17:53   19: 4    
15   4: 6    5:28   11:42   15: 1   17:53   19: 4    
16   4: 6    5:28   11:42   15: 2   17:53   19: 5    
17   4: 6    5:28   11:42   15: 2   17:53   19: 5    
18   4: 6    5:28   11:42   15: 3   17:54   19: 6    
19   4: 6    5:29   11:42   15: 3   17:54   19: 6    
20   4: 6    5:29   11:43   15: 4   17:54   19: 6    
21   4: 6    5:29   11:43   15: 4   17:55   19: 7    
22   4: 6    5:29   11:43   15: 5   17:55   19: 7    
23   4: 6    5:29   11:43   15: 5   17:56   19: 8    
24   4: 6    5:29   11:44   15: 6   17:56   19: 8    
25   4: 6    5:29   11:44   15: 6   17:56   19: 9    
26   4: 6    5:30   11:44   15: 7   17:57   19: 9    
27   4: 6    5:30   11:44   15: 7   17:57   19:10    
28   4: 6    5:30   11:45   15: 8   17:58   19:10    
29   4: 7    5:30   11:45   15: 8   17:58   19:11    
30   4: 7    5:31   11:46   15: 9   17:58   19:12    
 
 
            	DESEMBER
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4: 7    5:31   11:46   15:10   17:59   19:12    
 2   4: 7    5:31   11:46   15:10   17:59   19:13    
 3   4: 7    5:32   11:47   15:11   18: 0   19:13    
 4   4: 8    5:32   11:47   15:11   18: 0   19:14    
 5   4: 8    5:32   11:47   15:12   18: 1   19:14    
 6   4: 8    5:33   11:48   15:12   18: 1   19:15    
 7   4: 8    5:33   11:48   15:13   18: 2   19:15    
 8   4: 9    5:33   11:49   15:13   18: 2   19:16    
 9   4: 9    5:34   11:49   15:14   18: 3   19:16    
10   4: 9    5:34   11:50   15:14   18: 3   19:17    
11   4:10    5:34   11:50   15:15   18: 4   19:18    
12   4:10    5:35   11:51   15:15   18: 4   19:18    
13   4:10    5:35   11:51   15:16   18: 5   19:19    
14   4:11    5:36   11:51   15:17   18: 5   19:19    
15   4:11    5:36   11:52   15:17   18: 6   19:20    
16   4:12    5:37   11:52   15:18   18: 6   19:20    
17   4:12    5:37   11:53   15:18   18: 7   19:21    
18   4:12    5:38   11:53   15:19   18: 7   19:21    
19   4:13    5:38   11:54   15:19   18: 8   19:22    
20   4:13    5:39   11:54   15:20   18: 8   19:22    
21   4:14    5:39   11:55   15:20   18: 9   19:23    
22   4:14    5:40   11:55   15:21   18: 9   19:23    
23   4:15    5:40   11:56   15:21   18:10   19:24    
24   4:15    5:41   11:56   15:22   18:10   19:24    
25   4:16    5:41   11:57   15:22   18:11   19:25    
26   4:16    5:42   11:57   15:23   18:11   19:25    
27   4:17    5:42   11:58   15:23   18:12   19:26    
28   4:17    5:43   11:58   15:24   18:12   19:26    
29   4:18    5:43   11:59   15:24   18:13   19:27    
30   4:19    5:44   11:59   15:24   18:13   19:27    
31   4:19    5:44   12: 0   15:25   18:13   19:27    
 
 
